formula,avg_Atomic_Radius,avg_Pauling_Electronegativity,avg_number_of_valence_electrons,avg_Cohesive_energy_ev_atom,avg_Bulk_modulus_RT_Gpa,avg_Elastic_modulus_RT_Gpa,avg_Shear_modulus_RT_Gpa,avg_Melting_point_(K),avg_rate_shear_mod_Mpa_perK,avg_Solid_Solubility_atpct,avg_lattice_constant_A,avg_BEC_percm3,avg_Av.Valence_bond_strength_ev,avg_EngelZ_e/a,range_Atomic_Radius,range_Pauling_Electronegativity,range_number_of_valence_electrons,range_Cohesive_energy_ev_atom,range_Bulk_modulus_RT_Gpa,range_Elastic_modulus_RT_Gpa,range_Shear_modulus_RT_Gpa,range_Melting_point_(K),range_rate_shear_mod_Mpa_perK,range_Solid_Solubility_atpct,range_lattice_constant_A,range_BEC_percm3,range_Av.Valence_bond_strength_ev,range_EngelZ_e/a,var_Atomic_Radius,var_Pauling_Electronegativity,var_number_of_valence_electrons,var_Cohesive_energy_ev_atom,var_Bulk_modulus_RT_Gpa,var_Elastic_modulus_RT_Gpa,var_Shear_modulus_RT_Gpa,var_Melting_point_(K),var_rate_shear_mod_Mpa_perK,var_Solid_Solubility_atpct,var_lattice_constant_A,var_BEC_percm3,var_Av.Valence_bond_strength_ev,var_EngelZ_e/a,Temp,hardness,concat_text
Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,1.3995160580730313,1.7111086669599649,5.770347558293005,3.834192696876374,126.93796744390671,158.92520897492298,61.57853057633084,1460.8556753189619,-22.02320992566652,16.26454025516938,3.4169775626924763,3.618908930928289e-21,2.3458077430708313,4.585041794984601,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,790.0,"
    Formula: Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136
    avg_Atomic_Radius: 1.3995160580730313
    avg_Pauling_Electronegativity: 1.7111086669599649
    avg_number_of_valence_electrons: 5.770347558293005
    avg_Cohesive_energy_ev_atom: 3.834192696876374
    avg_Bulk_modulus_RT_Gpa: 126.93796744390671
    avg_Elastic_modulus_RT_Gpa: 158.92520897492298
    avg_Melting_point_(K): 1460.8556753189619
    avg_lattice_constant_A: 3.4169775626924763
    avg_BEC_percm3: 3.618908930928289e-21
    avg_Av.Valence_bond_strength_ev: 2.3458077430708313
    avg_EngelZ_e/a: 4.585041794984601
    Temperature: 25.0
    "
Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,1.4088048151332757,1.708950988822012,5.680997420464317,3.884720550300946,129.69045571797074,165.6517626827171,64.14961306964746,1496.6779449699052,-22.181681884015475,16.459673258813417,3.3504213241616507,3.740911435941532e-21,2.3451771281169393,4.706104901117799,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,855.0,"
    Formula: Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14
    avg_Atomic_Radius: 1.4088048151332757
    avg_Pauling_Electronegativity: 1.708950988822012
    avg_number_of_valence_electrons: 5.680997420464317
    avg_Cohesive_energy_ev_atom: 3.884720550300946
    avg_Bulk_modulus_RT_Gpa: 129.69045571797074
    avg_Elastic_modulus_RT_Gpa: 165.6517626827171
    avg_Melting_point_(K): 1496.6779449699052
    avg_lattice_constant_A: 3.3504213241616507
    avg_BEC_percm3: 3.740911435941532e-21
    avg_Av.Valence_bond_strength_ev: 2.3451771281169393
    avg_EngelZ_e/a: 4.706104901117799
    Temperature: 25.0
    "
Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,1.4099226139294925,1.7076311263972483,5.650472914875323,3.881981943250215,129.48839208942388,165.78503869303526,64.28073946689597,1497.919561478934,-22.197087960705073,16.539552880481512,3.347274290627687,3.747291487532245e-21,2.3367269991401547,4.720378331900259,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,856.0,"
    Formula: Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116
    avg_Atomic_Radius: 1.4099226139294925
    avg_Pauling_Electronegativity: 1.7076311263972483
    avg_number_of_valence_electrons: 5.650472914875323
    avg_Cohesive_energy_ev_atom: 3.881981943250215
    avg_Bulk_modulus_RT_Gpa: 129.48839208942388
    avg_Elastic_modulus_RT_Gpa: 165.78503869303526
    avg_Melting_point_(K): 1497.919561478934
    avg_lattice_constant_A: 3.347274290627687
    avg_BEC_percm3: 3.747291487532245e-21
    avg_Av.Valence_bond_strength_ev: 2.3367269991401547
    avg_EngelZ_e/a: 4.720378331900259
    Temperature: 25.0
    "
Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,1.3867983074753172,1.7070004701457453,5.6379877762106245,3.809534555712271,124.20780441937002,153.46356370474848,59.30700517160321,1429.0470380818056,-21.8655966551669,16.309873060648805,3.44560883874001,3.523563704748473e-21,2.3505213916314056,4.500893276915844,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,859.0,"
    Formula: Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106
    avg_Atomic_Radius: 1.3867983074753172
    avg_Pauling_Electronegativity: 1.7070004701457453
    avg_number_of_valence_electrons: 5.6379877762106245
    avg_Cohesive_energy_ev_atom: 3.809534555712271
    avg_Bulk_modulus_RT_Gpa: 124.20780441937002
    avg_Elastic_modulus_RT_Gpa: 153.46356370474848
    avg_Melting_point_(K): 1429.0470380818056
    avg_lattice_constant_A: 3.44560883874001
    avg_BEC_percm3: 3.523563704748473e-21
    avg_Av.Valence_bond_strength_ev: 2.3505213916314056
    avg_EngelZ_e/a: 4.500893276915844
    Temperature: 25.0
    "
Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,1.4048323301805672,1.7148065348237314,5.770421324161649,3.8937661220980218,130.38693035253652,164.20722269991398,63.14789337919174,1488.3150902837485,-22.063351492175403,15.95571797076526,3.332269991401547,3.746827171109199e-21,2.35323301805675,4.694067067927771,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,875.0,"
    Formula: Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14
    avg_Atomic_Radius: 1.4048323301805672
    avg_Pauling_Electronegativity: 1.7148065348237314
    avg_number_of_valence_electrons: 5.770421324161649
    avg_Cohesive_energy_ev_atom: 3.8937661220980218
    avg_Bulk_modulus_RT_Gpa: 130.38693035253652
    avg_Elastic_modulus_RT_Gpa: 164.20722269991398
    avg_Melting_point_(K): 1488.3150902837485
    avg_lattice_constant_A: 3.332269991401547
    avg_BEC_percm3: 3.746827171109199e-21
    avg_Av.Valence_bond_strength_ev: 2.35323301805675
    avg_EngelZ_e/a: 4.694067067927771
    Temperature: 25.0
    "
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,1.4050924731182795,1.714425806451613,5.758709677419354,3.8930365591397846,130.36559139784944,164.28086021505374,63.13247311827957,1488.6282795698924,-22.052359646331183,15.963397849462366,3.3221978494623654,3.7516903225806456e-21,2.3521376344086025,4.699698924731182,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,865.0,"
    Formula: Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116
    avg_Atomic_Radius: 1.4050924731182795
    avg_Pauling_Electronegativity: 1.714425806451613
    avg_number_of_valence_electrons: 5.758709677419354
    avg_Cohesive_energy_ev_atom: 3.8930365591397846
    avg_Bulk_modulus_RT_Gpa: 130.36559139784944
    avg_Elastic_modulus_RT_Gpa: 164.28086021505374
    avg_Melting_point_(K): 1488.6282795698924
    avg_lattice_constant_A: 3.3221978494623654
    avg_BEC_percm3: 3.7516903225806456e-21
    avg_Av.Valence_bond_strength_ev: 2.3521376344086025
    avg_EngelZ_e/a: 4.699698924731182
    Temperature: 25.0
    "
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,1.4064774193548386,1.7122494623655915,5.7290322580645165,3.8901677419354836,130.16774193548386,164.97333333333333,63.52817204301075,1492.2093548387097,-22.091875350507525,16.15827956989247,3.3258580645161286,3.748129032258065e-21,2.353542365591398,4.699698924731182,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,868.0,"
    Formula: Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116
    avg_Atomic_Radius: 1.4064774193548386
    avg_Pauling_Electronegativity: 1.7122494623655915
    avg_number_of_valence_electrons: 5.7290322580645165
    avg_Cohesive_energy_ev_atom: 3.8901677419354836
    avg_Bulk_modulus_RT_Gpa: 130.16774193548386
    avg_Elastic_modulus_RT_Gpa: 164.97333333333333
    avg_Melting_point_(K): 1492.2093548387097
    avg_lattice_constant_A: 3.3258580645161286
    avg_BEC_percm3: 3.748129032258065e-21
    avg_Av.Valence_bond_strength_ev: 2.353542365591398
    avg_EngelZ_e/a: 4.699698924731182
    Temperature: 25.0
    "
Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,1.4048516129032258,1.7151913978494622,5.759569892473118,3.892718279569892,130.27096774193546,163.6184946236559,62.93032258064516,1486.095806451613,-22.05047574633978,15.874451612903224,3.3292172043010746,3.756610752688172e-21,2.339803010752689,4.711741935483871,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,863.0,"
    Formula: Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116
    avg_Atomic_Radius: 1.4048516129032258
    avg_Pauling_Electronegativity: 1.7151913978494622
    avg_number_of_valence_electrons: 5.759569892473118
    avg_Cohesive_energy_ev_atom: 3.892718279569892
    avg_Bulk_modulus_RT_Gpa: 130.27096774193546
    avg_Elastic_modulus_RT_Gpa: 163.6184946236559
    avg_Melting_point_(K): 1486.095806451613
    avg_lattice_constant_A: 3.3292172043010746
    avg_BEC_percm3: 3.756610752688172e-21
    avg_Av.Valence_bond_strength_ev: 2.339803010752689
    avg_EngelZ_e/a: 4.711741935483871
    Temperature: 25.0
    "
Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,1.3876069581570287,1.7059896567936061,5.617771509167843,3.8073107663375647,124.00564174894218,153.50399623883405,59.44851904090269,1429.855688763517,-21.892018873455573,16.38669487541138,3.4528866948754118,3.524372355430184e-21,2.343223319228961,4.508979783732957,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,843.0,"
    Formula: Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106
    avg_Atomic_Radius: 1.3876069581570287
    avg_Pauling_Electronegativity: 1.7059896567936061
    avg_number_of_valence_electrons: 5.617771509167843
    avg_Cohesive_energy_ev_atom: 3.8073107663375647
    avg_Bulk_modulus_RT_Gpa: 124.00564174894218
    avg_Elastic_modulus_RT_Gpa: 153.50399623883405
    avg_Melting_point_(K): 1429.855688763517
    avg_lattice_constant_A: 3.4528866948754118
    avg_BEC_percm3: 3.524372355430184e-21
    avg_Av.Valence_bond_strength_ev: 2.343223319228961
    avg_EngelZ_e/a: 4.508979783732957
    Temperature: 25.0
    "
Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,1.3979105760963026,1.7223559759243334,5.930782459157351,3.85353826311264,128.49527085124677,156.92691315563198,60.4213241616509,1453.1706362854684,-21.911589216134995,15.322828890799657,3.4010189165950124,3.675288048151333e-21,2.317836629406707,4.635425623387791,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,794.0,"
    Formula: Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14
    avg_Atomic_Radius: 1.3979105760963026
    avg_Pauling_Electronegativity: 1.7223559759243334
    avg_number_of_valence_electrons: 5.930782459157351
    avg_Cohesive_energy_ev_atom: 3.85353826311264
    avg_Bulk_modulus_RT_Gpa: 128.49527085124677
    avg_Elastic_modulus_RT_Gpa: 156.92691315563198
    avg_Melting_point_(K): 1453.1706362854684
    avg_lattice_constant_A: 3.4010189165950124
    avg_BEC_percm3: 3.675288048151333e-21
    avg_Av.Valence_bond_strength_ev: 2.317836629406707
    avg_EngelZ_e/a: 4.635425623387791
    Temperature: 25.0
    "
Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,1.4166904661906765,1.6999244015119703,5.6703065938681245,3.8333515329693415,127.62284754304916,167.26375472490557,65.61696766064681,1505.7031289374215,-22.36173277980261,17.476900461990763,3.408626627467451,3.661188576228477e-21,2.3587744645107107,4.637085258294835,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,783.0,"
    Formula: Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143
    avg_Atomic_Radius: 1.4166904661906765
    avg_Pauling_Electronegativity: 1.6999244015119703
    avg_number_of_valence_electrons: 5.6703065938681245
    avg_Cohesive_energy_ev_atom: 3.8333515329693415
    avg_Bulk_modulus_RT_Gpa: 127.62284754304916
    avg_Elastic_modulus_RT_Gpa: 167.26375472490557
    avg_Melting_point_(K): 1505.7031289374215
    avg_lattice_constant_A: 3.408626627467451
    avg_BEC_percm3: 3.661188576228477e-21
    avg_Av.Valence_bond_strength_ev: 2.3587744645107107
    avg_EngelZ_e/a: 4.637085258294835
    Temperature: 25.0
    "
Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,1.389976492712741,1.7021391631405738,5.5684062059238375,3.802670427832628,123.70944992947815,154.86647860836862,60.16925246826518,1436.6088622472969,-21.95799132067701,16.738175834508702,3.4566384579219567,3.516868829337096e-21,2.349591443347438,4.505030559473437,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,797.0,"
    Formula: Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106
    avg_Atomic_Radius: 1.389976492712741
    avg_Pauling_Electronegativity: 1.7021391631405738
    avg_number_of_valence_electrons: 5.5684062059238375
    avg_Cohesive_energy_ev_atom: 3.802670427832628
    avg_Bulk_modulus_RT_Gpa: 123.70944992947815
    avg_Elastic_modulus_RT_Gpa: 154.86647860836862
    avg_Melting_point_(K): 1436.6088622472969
    avg_lattice_constant_A: 3.4566384579219567
    avg_BEC_percm3: 3.516868829337096e-21
    avg_Av.Valence_bond_strength_ev: 2.349591443347438
    avg_EngelZ_e/a: 4.505030559473437
    Temperature: 25.0
    "
Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,1.3872744360902258,1.70656484962406,5.62922932330827,3.808670112781955,124.13063909774435,153.51033834586465,59.386748120300744,1429.61992481203,-21.87918400399436,16.343984962406015,3.448890977443609,3.5248590225563916e-21,2.3467241541353383,4.505733082706767,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,805.0,"
    Formula: Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106
    avg_Atomic_Radius: 1.3872744360902258
    avg_Pauling_Electronegativity: 1.70656484962406
    avg_number_of_valence_electrons: 5.62922932330827
    avg_Cohesive_energy_ev_atom: 3.808670112781955
    avg_Bulk_modulus_RT_Gpa: 124.13063909774435
    avg_Elastic_modulus_RT_Gpa: 153.51033834586465
    avg_Melting_point_(K): 1429.61992481203
    avg_lattice_constant_A: 3.448890977443609
    avg_BEC_percm3: 3.5248590225563916e-21
    avg_Av.Valence_bond_strength_ev: 2.3467241541353383
    avg_EngelZ_e/a: 4.505733082706767
    Temperature: 25.0
    "
Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,1.467990479428766,1.7273852431145869,6.2896973818429105,4.0008568514110845,142.53587215232915,191.68650119007143,74.8388303298198,1646.8569024141448,-22.900876341890513,16.30588235294118,3.2014246854811286,4.1843760625637544e-21,2.335225773546413,5.089901394083646,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,699.0,"
    Formula: Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294
    avg_Atomic_Radius: 1.467990479428766
    avg_Pauling_Electronegativity: 1.7273852431145869
    avg_number_of_valence_electrons: 6.2896973818429105
    avg_Cohesive_energy_ev_atom: 4.0008568514110845
    avg_Bulk_modulus_RT_Gpa: 142.53587215232915
    avg_Elastic_modulus_RT_Gpa: 191.68650119007143
    avg_Melting_point_(K): 1646.8569024141448
    avg_lattice_constant_A: 3.2014246854811286
    avg_BEC_percm3: 4.1843760625637544e-21
    avg_Av.Valence_bond_strength_ev: 2.335225773546413
    avg_EngelZ_e/a: 5.089901394083646
    Temperature: 25.0
    "
Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,1.381077140169332,1.7131138287864536,5.767638758231421,3.7773000940733774,122.69049858889936,147.58748824082784,57.092662276575744,1400.5752116650988,-21.740352951745063,15.796472248353716,3.5002916274694265,3.4652822201317036e-21,2.323020225776106,4.452257761053622,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,749.0,"
    Formula: Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106
    avg_Atomic_Radius: 1.381077140169332
    avg_Pauling_Electronegativity: 1.7131138287864536
    avg_number_of_valence_electrons: 5.767638758231421
    avg_Cohesive_energy_ev_atom: 3.7773000940733774
    avg_Bulk_modulus_RT_Gpa: 122.69049858889936
    avg_Elastic_modulus_RT_Gpa: 147.58748824082784
    avg_Melting_point_(K): 1400.5752116650988
    avg_lattice_constant_A: 3.5002916274694265
    avg_BEC_percm3: 3.4652822201317036e-21
    avg_Av.Valence_bond_strength_ev: 2.323020225776106
    avg_EngelZ_e/a: 4.452257761053622
    Temperature: 25.0
    "
Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,1.4029591397849461,1.7141892473118279,5.8193548387096765,3.843415053763441,127.87526881720429,159.75698924731182,61.8632258064516,1467.1401075268818,-22.033892354434403,16.04141935483871,3.3984989247311823,3.66491182795699e-21,2.3297036559139785,4.632946236559139,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,828.0,"
    Formula: Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116
    avg_Atomic_Radius: 1.4029591397849461
    avg_Pauling_Electronegativity: 1.7141892473118279
    avg_number_of_valence_electrons: 5.8193548387096765
    avg_Cohesive_energy_ev_atom: 3.843415053763441
    avg_Bulk_modulus_RT_Gpa: 127.87526881720429
    avg_Elastic_modulus_RT_Gpa: 159.75698924731182
    avg_Melting_point_(K): 1467.1401075268818
    avg_lattice_constant_A: 3.3984989247311823
    avg_BEC_percm3: 3.66491182795699e-21
    avg_Av.Valence_bond_strength_ev: 2.3297036559139785
    avg_EngelZ_e/a: 4.632946236559139
    Temperature: 25.0
    "
Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,1.3801692524682652,1.7175505406676073,5.778561354019747,3.8229854254818996,125.11048425011755,149.96285848613073,57.36718382698637,1411.2501410437237,-21.678168180935593,15.358157028678894,3.4307193229901274,3.542087447108604e-21,2.339644099670898,4.505030559473437,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,849.0,"
    Formula: Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106
    avg_Atomic_Radius: 1.3801692524682652
    avg_Pauling_Electronegativity: 1.7175505406676073
    avg_number_of_valence_electrons: 5.778561354019747
    avg_Cohesive_energy_ev_atom: 3.8229854254818996
    avg_Bulk_modulus_RT_Gpa: 125.11048425011755
    avg_Elastic_modulus_RT_Gpa: 149.96285848613073
    avg_Melting_point_(K): 1411.2501410437237
    avg_lattice_constant_A: 3.4307193229901274
    avg_BEC_percm3: 3.542087447108604e-21
    avg_Av.Valence_bond_strength_ev: 2.339644099670898
    avg_EngelZ_e/a: 4.505030559473437
    Temperature: 25.0
    "
Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106,1.3823695345557123,1.713446168312177,5.738598965679361,3.819793135872121,125.01175364362955,151.96850023507287,58.21861777150918,1420.1302538787027,-21.732612359863662,15.759755524212508,3.423742360131641,3.529243065350259e-21,2.3620771039022097,4.48490832157969,0.48,0.2999999999999998,8.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.021888888888888892,0.014180555555555545,7.138888888888888,0.17749166666666663,1311.6666666666667,4423.805555555556,774.888888888889,145041.47222222228,4.094897329975828,61.51,0.27846666666666664,1.691788888888889e-42,0.03978022222222224,1.4658333333333335,25.0,883.0,"
    Formula: Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106
    avg_Atomic_Radius: 1.3823695345557123
    avg_Pauling_Electronegativity: 1.713446168312177
    avg_number_of_valence_electrons: 5.738598965679361
    avg_Cohesive_energy_ev_atom: 3.819793135872121
    avg_Bulk_modulus_RT_Gpa: 125.01175364362955
    avg_Elastic_modulus_RT_Gpa: 151.96850023507287
    avg_Melting_point_(K): 1420.1302538787027
    avg_lattice_constant_A: 3.423742360131641
    avg_BEC_percm3: 3.529243065350259e-21
    avg_Av.Valence_bond_strength_ev: 2.3620771039022097
    avg_EngelZ_e/a: 4.48490832157969
    Temperature: 25.0
    "
Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,1.4045098882201201,1.7160447119518485,5.770851246775581,3.892411865864144,130.0902837489252,162.84393809114357,62.84006878761823,1483.3881771281171,-22.08477106515477,15.82098022355976,3.3600085984522785,3.751564918314704e-21,2.3261732588134136,4.716165090283749,0.48,0.2999999999999998,7.0,1.0500000000000003,104.0,209.0,89.0,1197.0,6.253642030000002,20.0,1.54,3.63e-21,0.6430000000000002,3.4000000000000004,0.026096,0.01453599999999999,6.16,0.14684,1544.96,4630.16,810.16,157301.60000000003,4.105762402460071,65.172,0.301304,1.8700800000000003e-42,0.047285600000000025,1.4944000000000002,25.0,864.0,"
    Formula: Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163
    avg_Atomic_Radius: 1.4045098882201201
    avg_Pauling_Electronegativity: 1.7160447119518485
    avg_number_of_valence_electrons: 5.770851246775581
    avg_Cohesive_energy_ev_atom: 3.892411865864144
    avg_Bulk_modulus_RT_Gpa: 130.0902837489252
    avg_Elastic_modulus_RT_Gpa: 162.84393809114357
    avg_Melting_point_(K): 1483.3881771281171
    avg_lattice_constant_A: 3.3600085984522785
    avg_BEC_percm3: 3.751564918314704e-21
    avg_Av.Valence_bond_strength_ev: 2.3261732588134136
    avg_EngelZ_e/a: 4.716165090283749
    Temperature: 25.0
    "
